"NGenes"	"PropDown"	"PropUp"	"Direction"	"PValue"	"FDR"	"PValue.Mixed"	"FDR.Mixed"
"FN3K"	4	0	0	"Up"	0.854	0.9955	0.803	0.949900332225914
"CDKL5"	4	0	0	"Up"	0.857	0.9955	0.745	0.949900332225914
"RPS6KA4"	4	0	0	"Down"	0.858	0.9955	0.406	0.949900332225914
"JAKMIP2"	5	0	0	"Up"	0.859	0.9955	0.618	0.949900332225914
"DDR1"	4	0	0	"Down"	0.863	0.9955	0.596	0.949900332225914
"NUAK1"	4	0.25	0	"Up"	0.864	0.9955	0.401	0.949900332225914
"PRKD1"	5	0	0	"Up"	0.864	0.9955	0.325	0.949900332225914
"IPMK"	4	0	0	"Up"	0.864	0.9955	0.456	0.949900332225914
"ULK1"	4	0	0	"Up"	0.865	0.9955	0.744	0.949900332225914
"IKBKB"	6	0	0	"Down"	0.866	0.9955	0.769	0.949900332225914
"MAK"	5	0	0	"Down"	0.866	0.9955	0.852	0.949900332225914
"INSRR"	6	0	0	"Down"	0.867	0.9955	0.58	0.949900332225914
"DCLK1"	6	0	0.166666666666667	"Up"	0.87	0.9955	0.461	0.949900332225914
"RPS6KB1"	6	0	0	"Down"	0.87	0.9955	0.767	0.949900332225914
"PRKCD"	5	0	0	"Down"	0.87	0.9955	0.772	0.949900332225914
"PTK2"	5	0	0	"Down"	0.875	0.9955	0.996	0.996
"YWHAZ"	4	0	0	"Down"	0.876	0.9955	0.826	0.949900332225914
"MAP2K7"	8	0.125	0.125	"Down"	0.886	0.9955	0.478	0.949900332225914
"GRK7"	5	0.2	0	"Up"	0.888	0.9955	0.529	0.949900332225914
"FLT4"	5	0	0	"Up"	0.888	0.9955	0.885	0.949900332225914
"MAP2K3"	4	0	0	"Down"	0.89	0.9955	0.729	0.949900332225914
"CAMK1G"	5	0	0	"Down"	0.9	0.9955	0.667	0.949900332225914
"CAMKK2"	4	0	0	"Down"	0.902	0.9955	0.728	0.949900332225914
"BRD2"	7	0	0	"Down"	0.904	0.9955	0.836	0.949900332225914
"MAP4K1"	4	0	0	"Up"	0.905	0.9955	0.532	0.949900332225914
"RPS6KA1"	7	0	0	"Down"	0.908	0.9955	0.734	0.949900332225914
"MAPK12"	5	0	0	"Down"	0.911	0.9955	0.559	0.949900332225914
"LCK"	5	0	0	"Up"	0.914	0.9955	0.71	0.949900332225914
"EPHA4"	4	0	0	"Down"	0.915	0.9955	0.969	0.977665615141956
"CHEK1"	8	0	0.125	"Down"	0.916	0.9955	0.7	0.949900332225914
"PFKFB3"	4	0	0	"Down"	0.916	0.9955	0.445	0.949900332225914
"MARK4"	5	0	0	"Up"	0.918	0.9955	0.845	0.949900332225914
"TEC"	4	0	0	"Down"	0.92	0.9955	0.665	0.949900332225914
"KIT"	4	0	0	"Up"	0.922	0.9955	0.935	0.962555910543131
"FER"	4	0	0	"Down"	0.925	0.9955	0.677	0.949900332225914
"FGFR3"	5	0	0	"Up"	0.926	0.9955	0.705	0.949900332225914
"SHC1"	5	0	0	"Down"	0.928	0.9955	0.851	0.949900332225914
"KCNH8"	5	0	0	"Up"	0.932	0.9955	0.573	0.949900332225914
"CSF1R"	4	0	0	"Down"	0.932	0.9955	0.894	0.949900332225914
"BMPR2"	4	0	0	"Up"	0.933	0.9955	0.833	0.949900332225914
"AVP"	4	0.25	0	"Up"	0.939	0.9955	0.46	0.949900332225914
"PFKL"	4	0	0	"Down"	0.939	0.9955	0.55	0.949900332225914
"ZAP70"	5	0	0	"Up"	0.942	0.9955	0.523	0.949900332225914
"CDK2"	4	0	0	"Up"	0.944	0.9955	0.793	0.949900332225914
"RPS6KA3"	4	0	0	"Up"	0.947	0.9955	0.835	0.949900332225914
"PHKG1"	4	0	0	"Down"	0.948	0.9955	0.783	0.949900332225914
"NPR1"	7	0	0	"Down"	0.949	0.9955	0.403	0.949900332225914
"FES"	4	0	0	"Up"	0.955	0.9955	0.883	0.949900332225914
"NEK8"	7	0	0	"Up"	0.958	0.9955	0.819	0.949900332225914
"ADK"	5	0.2	0	"Down"	0.963	0.9955	0.355	0.949900332225914
"BLK"	5	0	0	"Up"	0.964	0.9955	0.815	0.949900332225914
"PRPF4B"	4	0	0	"Up"	0.966	0.9955	0.664	0.949900332225914
"CDK7"	8	0.125	0	"Down"	0.968	0.9955	0.767	0.949900332225914
"GAK"	4	0	0	"Up"	0.968	0.9955	0.62	0.949900332225914
"ERBB4"	8	0	0	"Down"	0.969	0.9955	0.35	0.949900332225914
"MAPK4"	4	0	0	"Up"	0.969	0.9955	0.886	0.949900332225914
"CCL8"	5	0	0	"Down"	0.97	0.9955	0.848	0.949900332225914
"BMPR1A"	5	0	0	"Down"	0.973	0.9955	0.519	0.949900332225914
"PRKG1"	5	0	0	"Up"	0.974	0.9955	0.749	0.949900332225914
"CDK6"	6	0	0	"Up"	0.979	0.9955	0.865	0.949900332225914
"ROCK2"	7	0	0	"Down"	0.984	0.9955	0.934	0.962555910543131
"ADCK1"	4	0	0	"Up"	0.985	0.9955	0.94	0.962555910543131
"MAP3K5"	7	0	0	"Up"	0.987	0.9955	0.868	0.949900332225914
"CDK9"	5	0	0	"Down"	0.987	0.9955	0.77	0.949900332225914
"MAPK11"	4	0	0	"Up"	0.987	0.9955	0.967	0.977665615141956
"NEK11"	7	0	0	"Down"	0.989	0.9955	0.724	0.949900332225914
"CARD11"	4	0	0	"Up"	0.99	0.9955	0.891	0.949900332225914
"CAMK2B"	4	0	0	"Up"	0.993	0.9955	0.784	0.949900332225914
"EPS8"	4	0	0	"Up"	0.996	0.996	0.893	0.949900332225914
